priority_score,action,target_query,suggested_url,serp_position,serp_url,rationale,tech_url,tech_status,tech_title,tech_h1,tech_meta_desc,tech_wordcount,tech_issues,impact,effort
1.8,improve-landing,anxiety psychiatrist orlando,https://empathyhealthclinic.com/anxiety-psychiatrist-orlando/,7,https://empathyhealthclinic.com/,Position 7 (Page 1) - optimize title/meta/content to push into Top 3,,,,,,,,3,1.5
1.8,improve-landing,psychiatrist orlando accepts bcbs,https://empathyhealthclinic.com/psychiatrist-orlando-takes-bcbs/,5,https://empathyhealthclinic.com/,Position 5 (Page 1) - optimize title/meta/content to push into Top 3,,,,,,,,3,1.5
1.8,improve-landing,psychiatrist orlando accepts umr,https://empathyhealthclinic.com/psychiatrist-orlando-takes-umr/,6,https://empathyhealthclinic.com/umr-umr-coverage,Position 6 (Page 1) - optimize title/meta/content to push into Top 3,,,,,,,,3,1.5
0.4,supporting-blog,telepsychiatry orlando,https://empathyhealthclinic.com/telepsychiatry-orlando/,1,https://empathyhealthclinic.com/telepsychiatry-orlando,Position 1 (Top 3) - defend with supporting content and internal links,,,,,,,,2,2.0
0.4,supporting-blog,same day psychiatrist orlando,https://empathyhealthclinic.com/same-day-psychiatrist-orlando/,3,https://empathyhealthclinic.com/same-day-psychiatrist-orlando,Position 3 (Top 3) - defend with supporting content and internal links,,,,,,,,2,2.0
-2.4,create-landing,psychiatrist orlando,https://empathyhealthclinic.com/psychiatrist-orlando/,Not in top 20,N/A,Not ranking in top 20 - create dedicated Orlando landing page,,,,,,,,0,3.0
-2.4,create-landing,psychiatry orlando,https://empathyhealthclinic.com/psychiatry-orlando/,Not in top 20,N/A,Not ranking in top 20 - create dedicated Orlando landing page,,,,,,,,0,3.0
-2.4,create-landing,child psychiatrist orlando,https://empathyhealthclinic.com/child-psychiatrist-orlando/,Not in top 20,N/A,Not ranking in top 20 - create dedicated Orlando landing page,,,,,,,,0,3.0
-2.4,create-landing,adhd psychiatrist orlando,https://empathyhealthclinic.com/adhd-psychiatrist-orlando/,Not in top 20,N/A,Not ranking in top 20 - create dedicated Orlando landing page,,,,,,,,0,3.0
-2.4,create-landing,bipolar psychiatrist orlando,https://empathyhealthclinic.com/bipolar-psychiatrist-orlando/,Not in top 20,N/A,Not ranking in top 20 - create dedicated Orlando landing page,,,,,,,,0,3.0
-2.4,create-landing,medication management orlando,https://empathyhealthclinic.com/medication-management-orlando/,Not in top 20,N/A,Not ranking in top 20 - create dedicated Orlando landing page,,,,,,,,0,3.0
-2.4,create-landing,psychiatrist orlando accepts cigna,https://empathyhealthclinic.com/psychiatrist-orlando-takes-cigna/,Not in top 20,N/A,Not ranking in top 20 - create dedicated Orlando landing page,,,,,,,,0,3.0
